LID , TYPE , PLAND 
01_CNR, cls_3 ,14.2766
01_CNR, cls_13 ,0.0081
01_CNR, cls_21 ,17.3574
01_CNR, cls_20 ,19.5827
01_CNR, cls_19 ,15.7497
01_CNR, cls_9 ,1.562
01_CNR, cls_15 ,28.7752
01_CNR, cls_25 ,0.2973
01_CNR, cls_33 ,0.0307
01_CNR, cls_24 ,2.3602
02_GRS, cls_33 ,1.0975
02_GRS, cls_3 ,16.2767
02_GRS, cls_21 ,15.2006
02_GRS, cls_15 ,51.9473
02_GRS, cls_19 ,13.6168
02_GRS, cls_9 ,1.519
02_GRS, cls_25 ,0.053
02_GRS, cls_24 ,0.2868
02_GRS, cls_20 ,0.0023
03_LND, cls_15 ,9.7324
03_LND, cls_19 ,48.0219
03_LND, cls_21 ,18.5261
03_LND, cls_3 ,15.6215
03_LND, cls_9 ,1.3031
03_LND, cls_25 ,0.147
03_LND, cls_33 ,0.7643
03_LND, cls_24 ,5.8554
03_LND, cls_20 ,0.0283
04_RAL, cls_33 ,7.5313
04_RAL, cls_21 ,11.7305
04_RAL, cls_15 ,2.1223
04_RAL, cls_3 ,3.8311
04_RAL, cls_19 ,74.268
04_RAL, cls_25 ,0.0606
04_RAL, cls_20 ,0.0152
04_RAL, cls_24 ,0.441
05_SJS, cls_33 ,0.4252
05_SJS, cls_21 ,22.7535
05_SJS, cls_3 ,27.8615
05_SJS, cls_19 ,22.8031
05_SJS, cls_15 ,16.1007
05_SJS, cls_20 ,0.2648
05_SJS, cls_9 ,9.6403
05_SJS, cls_25 ,0.036
05_SJS, cls_24 ,0.1148
06_SSA, cls_19 ,65.6583
06_SSA, cls_15 ,4.0433
06_SSA, cls_21 ,11.5317
06_SSA, cls_3 ,10.0042
06_SSA, cls_9 ,0.66
06_SSA, cls_20 ,6.6658
06_SSA, cls_33 ,0.5353
06_SSA, cls_25 ,0.0956
06_SSA, cls_24 ,0.8057
07_NAC, cls_21 ,23.8081
07_NAC, cls_3 ,12.8974
07_NAC, cls_15 ,18.2233
07_NAC, cls_19 ,37.0187
07_NAC, cls_33 ,0.1608
07_NAC, cls_20 ,7.1239
07_NAC, cls_25 ,0.0717
07_NAC, cls_9 ,0.2485
07_NAC, cls_24 ,0.4476
08_SMR, cls_0 ,0.1532
08_SMR, cls_33 ,1.6123
08_SMR, cls_19 ,69.7111
08_SMR, cls_21 ,8.8877
08_SMR, cls_3 ,9.0606
08_SMR, cls_15 ,2.5412
08_SMR, cls_13 ,0.2975
08_SMR, cls_20 ,6.4379
08_SMR, cls_9 ,0.6477
08_SMR, cls_25 ,0.0752
08_SMR, cls_24 ,0.5756
09_CNG, cls_19 ,25.7825
09_CNG, cls_21 ,17.0806
09_CNG, cls_3 ,16.2715
09_CNG, cls_15 ,30.6729
09_CNG, cls_33 ,0.3136
09_CNG, cls_9 ,9.4194
09_CNG, cls_20 ,0.1547
09_CNG, cls_25 ,0.0913
09_CNG, cls_24 ,0.2039
09_CNG, cls_30 ,0.0096
10_PNH, cls_15 ,38.8191
10_PNH, cls_21 ,10.8073
10_PNH, cls_19 ,19.8259
10_PNH, cls_3 ,20.4829
10_PNH, cls_9 ,9.4052
10_PNH, cls_24 ,0.5245
10_PNH, cls_25 ,0.0856
10_PNH, cls_33 ,0.0493
11_TMZ, cls_21 ,11.2761
11_TMZ, cls_33 ,0.2735
11_TMZ, cls_3 ,13.4445
11_TMZ, cls_15 ,57.8501
11_TMZ, cls_9 ,3.7577
11_TMZ, cls_19 ,13.1736
11_TMZ, cls_25 ,0.0649
11_TMZ, cls_20 ,0.0145
11_TMZ, cls_24 ,0.1453
12_RCL, cls_0 ,0.3917
12_RCL, cls_33 ,17.1507
12_RCL, cls_21 ,8.2002
12_RCL, cls_3 ,9.8562
12_RCL, cls_13 ,0.0466
12_RCL, cls_15 ,62.1233
12_RCL, cls_9 ,0.4102
12_RCL, cls_25 ,0.052
12_RCL, cls_19 ,1.4048
12_RCL, cls_24 ,0.3558
12_RCL, cls_20 ,0.0085
13_CRL, cls_0 ,0.3544
13_CRL, cls_33 ,19.0701
13_CRL, cls_21 ,11.1952
13_CRL, cls_3 ,5.2287
13_CRL, cls_15 ,57.858
13_CRL, cls_25 ,0.059
13_CRL, cls_24 ,0.67
13_CRL, cls_19 ,4.7177
13_CRL, cls_9 ,0.8017
13_CRL, cls_13 ,0.0289
13_CRL, cls_20 ,0.0163
14_SJP, cls_33 ,8.9943
14_SJP, cls_3 ,7.4612
14_SJP, cls_21 ,15.3252
14_SJP, cls_13 ,32.8609
14_SJP, cls_0 ,0.0206
14_SJP, cls_15 ,34.2183
14_SJP, cls_4 ,0.179
14_SJP, cls_19 ,0.4419
14_SJP, cls_20 ,0.014
14_SJP, cls_9 ,0.0947
14_SJP, cls_24 ,0.3864
14_SJP, cls_25 ,0.0035
15_ALT, cls_21 ,19.3343
15_ALT, cls_3 ,9.2984
15_ALT, cls_15 ,42.7172
15_ALT, cls_9 ,0.8255
15_ALT, cls_19 ,5.3289
15_ALT, cls_33 ,7.7388
15_ALT, cls_13 ,14.02
15_ALT, cls_4 ,0.1017
15_ALT, cls_25 ,0.0474
15_ALT, cls_24 ,0.5606
15_ALT, cls_20 ,0.0272
16_UMR, cls_15 ,61.7755
16_UMR, cls_21 ,11.309
16_UMR, cls_20 ,13.787
16_UMR, cls_3 ,8.7455
16_UMR, cls_9 ,0.219
16_UMR, cls_25 ,0.085
16_UMR, cls_19 ,1.5772
16_UMR, cls_13 ,0.0076
16_UMR, cls_24 ,2.4677
16_UMR, cls_33 ,0.0265
17_LDN, cls_33 ,2.6147
17_LDN, cls_21 ,11.8543
17_LDN, cls_3 ,10.0592
17_LDN, cls_15 ,24.5096
17_LDN, cls_19 ,50.3034
17_LDN, cls_25 ,0.1101
17_LDN, cls_9 ,0.1581
17_LDN, cls_24 ,0.3906
18_IVP, cls_33 ,0.715
18_IVP, cls_3 ,9.807
18_IVP, cls_15 ,18.4321
18_IVP, cls_21 ,12.2822
18_IVP, cls_19 ,56.4489
18_IVP, cls_9 ,0.4122
18_IVP, cls_25 ,0.1163
18_IVP, cls_24 ,1.7864
19_APC, cls_3 ,17.0565
19_APC, cls_21 ,21.6587
19_APC, cls_15 ,10.0657
19_APC, cls_19 ,43.7063
19_APC, cls_9 ,2.1979
19_APC, cls_20 ,0.0161
19_APC, cls_25 ,0.2716
19_APC, cls_24 ,4.8946
19_APC, cls_33 ,0.1325
20_CMB, cls_21 ,20.1726
20_CMB, cls_15 ,11.7303
20_CMB, cls_3 ,12.695
20_CMB, cls_25 ,0.1393
20_CMB, cls_19 ,49.5444
20_CMB, cls_9 ,0.8194
20_CMB, cls_20 ,3.6279
20_CMB, cls_24 ,1.2589
20_CMB, cls_33 ,0.0122
21_MND, cls_3 ,12.4003
21_MND, cls_21 ,25.5803
21_MND, cls_19 ,23.3772
21_MND, cls_9 ,1.1077
21_MND, cls_15 ,30.9963
21_MND, cls_33 ,0.0359
21_MND, cls_20 ,3.8937
21_MND, cls_25 ,0.1811
21_MND, cls_24 ,2.4276
22_RLN, cls_19 ,72.9139
22_RLN, cls_3 ,7.7083
22_RLN, cls_21 ,9.0635
22_RLN, cls_15 ,2.6523
22_RLN, cls_9 ,0.3685
22_RLN, cls_25 ,0.1215
22_RLN, cls_20 ,3.1329
22_RLN, cls_33 ,0.0753
22_RLN, cls_24 ,3.9637
23_IBT, cls_21 ,11.2897
23_IBT, cls_15 ,57.2668
23_IBT, cls_3 ,15.4438
23_IBT, cls_19 ,10.7721
23_IBT, cls_9 ,2.3963
23_IBT, cls_20 ,1.916
23_IBT, cls_33 ,0.1044
23_IBT, cls_25 ,0.109
23_IBT, cls_24 ,0.7019
24_SAP, cls_21 ,13.8197
24_SAP, cls_19 ,16.2821
24_SAP, cls_3 ,6.861
24_SAP, cls_20 ,4.3739
24_SAP, cls_33 ,0.3891
