"LID" " cls_3 " " cls_13 " " cls_21 " " cls_20 " " cls_19 " " cls_9 " " cls_15 " " cls_25 " " cls_33 " " cls_24 " " cls_0 " " cls_30 " " cls_4 "
"01_CNR" 14.2766 0.0081 17.3574 19.5827 15.7497 1.562 28.7752 0.2973 0.0307 2.3602 NA NA NA
"02_GRS" 16.2767 NA 15.2006 0.0023 13.6168 1.519 51.9473 0.053 1.0975 0.2868 NA NA NA
"03_LND" 15.6215 NA 18.5261 0.0283 48.0219 1.3031 9.7324 0.147 0.7643 5.8554 NA NA NA
"04_RAL" 3.8311 NA 11.7305 0.0152 74.268 NA 2.1223 0.0606 7.5313 0.441 NA NA NA
"05_SJS" 27.8615 NA 22.7535 0.2648 22.8031 9.6403 16.1007 0.036 0.4252 0.1148 NA NA NA
"06_SSA" 10.0042 NA 11.5317 6.6658 65.6583 0.66 4.0433 0.0956 0.5353 0.8057 NA NA NA
"07_NAC" 12.8974 NA 23.8081 7.1239 37.0187 0.2485 18.2233 0.0717 0.1608 0.4476 NA NA NA
"08_SMR" 9.0606 0.2975 8.8877 6.4379 69.7111 0.6477 2.5412 0.0752 1.6123 0.5756 0.1532 NA NA
"09_CNG" 16.2715 NA 17.0806 0.1547 25.7825 9.4194 30.6729 0.0913 0.3136 0.2039 NA 0.0096 NA
"10_PNH" 20.4829 NA 10.8073 NA 19.8259 9.4052 38.8191 0.0856 0.0493 0.5245 NA NA NA
"11_TMZ" 13.4445 NA 11.2761 0.0145 13.1736 3.7577 57.8501 0.0649 0.2735 0.1453 NA NA NA
"12_RCL" 9.8562 0.0466 8.2002 0.0085 1.4048 0.4102 62.1233 0.052 17.1507 0.3558 0.3917 NA NA
"13_CRL" 5.2287 0.0289 11.1952 0.0163 4.7177 0.8017 57.858 0.059 19.0701 0.67 0.3544 NA NA
"14_SJP" 7.4612 32.8609 15.3252 0.014 0.4419 0.0947 34.2183 0.0035 8.9943 0.3864 0.0206 NA 0.179
"15_ALT" 9.2984 14.02 19.3343 0.0272 5.3289 0.8255 42.7172 0.0474 7.7388 0.5606 NA NA 0.1017
"16_UMR" 8.7455 0.0076 11.309 13.787 1.5772 0.219 61.7755 0.085 0.0265 2.4677 NA NA NA
"17_LDN" 10.0592 NA 11.8543 NA 50.3034 0.1581 24.5096 0.1101 2.6147 0.3906 NA NA NA
"18_IVP" 9.807 NA 12.2822 NA 56.4489 0.4122 18.4321 0.1163 0.715 1.7864 NA NA NA
"19_APC" 17.0565 NA 21.6587 0.0161 43.7063 2.1979 10.0657 0.2716 0.1325 4.8946 NA NA NA
"20_CMB" 12.695 NA 20.1726 3.6279 49.5444 0.8194 11.7303 0.1393 0.0122 1.2589 NA NA NA
"21_MND" 12.4003 NA 25.5803 3.8937 23.3772 1.1077 30.9963 0.1811 0.0359 2.4276 NA NA NA
"22_RLN" 7.7083 NA 9.0635 3.1329 72.9139 0.3685 2.6523 0.1215 0.0753 3.9637 NA NA NA
"23_IBT" 15.4438 NA 11.2897 1.916 10.7721 2.3963 57.2668 0.109 0.1044 0.7019 NA NA NA
"24_SAP" 6.861 NA 13.8197 4.3739 16.2821 0.2803 56.6721 0.0832 0.3891 1.2385 NA NA NA
"25_ABT" 6.0245 NA 17.1371 1.8762 32.8944 0.9175 40.1928 0.1168 0.3883 0.4524 NA NA NA
"26_SCM" 9.6591 0.0019 10.9596 0.0123 8.3895 1.3743 66.8024 0.2567 0.8972 1.6469 NA NA NA
"27_CPR" 12.7453 NA 18.1179 2.9207 47.2888 0.5745 16.3114 0.1394 0.3714 1.5307 NA NA NA
"28_JBT" 8.4768 NA 12.0151 0.1219 15.5044 0.9855 62.0235 0.098 0.1154 0.6592 NA NA NA
"29_CMB" 6.7757 NA 6.9727 0.0837 77.8965 0.0282 3.441 0.0764 0.096 4.6299 NA NA NA
"30_PTN" 4.8645 NA 7.3617 1.9792 79.2754 0.2138 5.737 0.0985 0.008 0.4618 NA NA NA
